781768999441481 	R	173173944
781768999479178 	R	173174072
781768999516921 	R	173174200
781768999554983 	R	173174328
781768999592716 	R	173174456
781768999630606 	R	173174584
781768999668485 	R	173174712
781769010488646 	W	173174840
781769010540979 	W	173174968
781769010601567 	W	173175096
781769010656619 	W	173175224
781769010764430 	R	173175352
781769010806248 	R	173175480
781769010843847 	R	173175608
781769010881325 	R	173175736
781769010925946 	R	173175864
781769010963249 	R	173175992
781769011000565 	R	173176120
781769011038440 	R	173176248
781769011078658 	R	173176376
781769011115691 	R	173176504
781769011169085 	W	173176632
781769011368945 	W	173176760
781769011415651 	R	173176888
781769011455144 	R	173177016
781769011518502 	W	173177144
781769011558747 	R	173177272
781769011596213 	R	173177400
781769011633673 	R	173177528
781769011671566 	R	173177656
781769011709228 	R	173177784
781769011747283 	R	173177912
781769011784954 	R	173178040
781769011822706 	R	173178168
781769011864536 	W	173178296
781769011903605 	W	173178424
781769012086005 	R	173178552
781769012380554 	R	173178680
781769012419560 	R	173178808
781769012458091 	R	173178936
781769012496266 	R	173179064
781769012534550 	R	173179192
781769012573436 	R	173179320
781769012611513 	R	173179448
781769012649760 	R	173179576
781769012687464 	R	173179704
781769012835370 	R	173179832
781769013101070 	R	173179960
781769013144283 	R	173180088
781769013182387 	R	173180216
781769013220262 	R	173180344
781769013257818 	R	173180472
781769013295865 	R	173180600
781769013333589 	R	173180728
781769013371416 	R	173180856
781769013408672 	R	173180984
781769022564111 	R	173181112
781769022603842 	R	173181240
781769022641629 	R	173181368
781769022679929 	R	173181496
781769022717807 	R	173181624
781769022755618 	R	173181752
781769022793337 	R	173181880
781769022830755 	R	173182008
781769022868152 	R	173182136
781769022905495 	R	173182264
781769023074358 	R	173182392
781769023366832 	R	173182520
781769023406785 	R	173182648
781769023445346 	R	173182776
781769023483705 	R	173182904
781769023521911 	R	173183032
781769023560384 	R	173183160
781769023598939 	R	173183288
781769023636736 	R	173183416
781769023674151 	R	173183544
781769034418552 	W	173183672
781769034663403 	R	173183800
781769034709173 	R	173183928
781769034752837 	R	173184056
781769034798598 	R	173184184
781769034836209 	R	173184312
781769034874111 	R	173184440
781769034911559 	R	173184568
781769034948926 	R	173184696
781769034986590 	R	173184824
781769035023626 	R	173184952
781769035204237 	R	173185080
781769035495718 	R	173185208
781769035535380 	R	173185336
781769035573330 	R	173185464
781769035611217 	R	173185592
781769035648948 	R	173185720
781769035687253 	R	173185848
781769035725579 	R	173185976
781769035763743 	R	173186104
781769035802081 	R	173186232
781769046567290 	R	173186360
781769046613565 	R	173186488
781769046657702 	R	173186616
781769046704001 	R	173186744
781769046741903 	R	173186872
781769046778738 	R	173187000
781769046815945 	R	173187128
781769046852894 	R	173187256
781769046889912 	R	173187384
781769046926950 	R	173187512
781769058620099 	R	173187640
781769058669433 	R	173187768
781769058713807 	R	173187896
781769058759331 	R	173188024
781769058797293 	R	173188152
781769058835102 	R	173188280
781769058873115 	R	173188408
781769058910861 	R	173188536
781769058948375 	R	173188664
781769058985724 	R	173188792
781769070585451 	R	173188920
781769070631657 	R	173189048
781769070675656 	R	173189176
781769070722045 	R	173189304
781769070760035 	R	173189432
781769070797383 	R	173189560
781769070834663 	R	173189688
781769070871612 	R	173189816
781769070908503 	R	173189944
781769070945416 	R	173190072
781769082580416 	R	173190200
781769082625744 	R	173190328
781769082669511 	R	173190456
781769082715527 	R	173190584
781769082753348 	R	173190712
781769082790535 	R	173190840
781769082827808 	R	173190968
781769082864850 	R	173191096
781769082901832 	R	173191224
781769082938672 	R	173191352
781769094587316 	R	173191480
781769094632370 	R	173191608
781769094675722 	R	173191736
781769094720926 	R	173191864
781769094757830 	R	173191992
781769094794607 	R	173192120
781769094831863 	R	173192248
781769094868508 	R	173192376
781769094905165 	R	173192504
781769094942026 	R	173192632
781769106582432 	R	173192760
781769106628765 	R	173192888
781769106672863 	R	173193016
781769106718960 	R	173193144
781769106756472 	R	173193272
781769106793896 	R	173193400
781769106831476 	R	173193528
781769106868557 	R	173193656
781769106905388 	R	173193784
781769106942481 	R	173193912
781769118553209 	R	173194040
781769118599665 	R	173194168
781769118643835 	R	173194296
781769118689755 	R	173194424
781769118727895 	R	173194552
781769118765653 	R	173194680
781769118803164 	R	173194808
781769118840486 	R	173194936
781769118877639 	R	173195064
781769118914389 	R	173195192
781769119298881 	R	173195320
781769119337511 	R	173195448
781769119375636 	R	173195576
781769119414242 	R	173195704
781769119452436 	R	173195832
781769119490768 	R	173195960
781769119529380 	R	173196088
781769119567435 	R	173196216
781769119605470 	R	173196344
781769119643540 	R	173196472
781769130602087 	R	173196600
781769130648338 	R	173196728
